"grid_size","handcoded_u280","codegen_u280","handcoded_vck5000","codegen_vck5000"
"30x30","14100.786","9581.75","8652.119","6259.5"
"60x60","19763.911","10345.3","14232.96","11976.2"
"100x100","31953.771","23215.6","26542.761","25576.2"
"200x100","53333.338","40375.5","47238.949","44278.3"
"200x200","88614.563","75038.1","82095.129","79037"
"300x150","98225.039","82798.1","91308.915","88425.7"
"300x300","174895.761","158814","166906.077","164411"
"400x200","161701.783","146799","153841.435","154283"
"400x300","230719.001","216106","222019.296","223607"
"400x400","299858.091","285476","289971.75","292935"
