"grid_size",num_elements,"codegen_vck5000_p55_runtime","codegen_vck5000_p55_throughput","codegen_u280_p54_runtime","codegen_u280_p54_throughput","codegen_u280_p60_runtime","codegen_u280_p60_throughput",codegen_u280_p84_runtime,codegen_u280_p84_throughput
"30x30",900,3483.17,93.0187157,"9230.41","35.101366","9064.39","35.7442696",8494.6,38.1418784
"60x60",3600,5654.89,229.182177,"9953.85","130.200877","9853.57","131.525934",9659,134.17538
"100x100",10000,10274.3,350.388834,"10991","327.540715","11086.8","324.710467",11034.5,326.24949
"200x100",20000,17160.7,419.563305,"14762.6","487.718965","13740.3","524.006026",14020.4,513.537417
"200x200",40000,26645.3,540.433022,"24410.4","589.912496","22341.8","644.531775",20615.1,698.517106
"300x150",45000,30960.8,523.242293,"27092.7","597.947048","24891.6","650.821964",23288,695.637238
"300x300",90000,51722,626.425892,"48277.8","671.115917","43877.8","738.414415",40251.8,804.932947
"400x200",80000,51016.4,564.524349,"45607.5","631.475086","41623.4","691.918488",38568.6,746.721426
"400x300",120000,69944.6,617.631668,"64879.1","665.853873","58943.5","732.90524",53897,801.528842
"400x400",160000,88845.8,648.31427,"85488","673.778776","76908.2","748.944846",69585.6,827.757467
"400x425",170000,93604.9,653.811927,"92683.1","660.314556","83398.4","733.827028",74654.1,819.780829
"400x350",140000,79389.3,634.846258,"74529.6","676.241386","67591.5","745.655889",61793.5,815.619766
"400x375",150000,84167,641.581617,"79267.9","681.234144","71931.2","750.717352",65627.7,822.82329
"300x350",105000,58649.3,644.508971,"55228.9","684.424278","50287.4","751.679347",45890,823.708869
"300x375",112500,62083.2,652.350394,"58753.2","689.324156","53412.2","758.253732",48735.9,831.009584
"300x400",120000,65562,658.918276,"62266.4","693.793121","56561.7","763.767709",51502.8,838.789347
"300x425",127500,69065.4,664.587478,"65801.7","697.550367","59738.2","768.352578",54387.4,843.945473
"300x450",135000,72347,671.762478,"69373.1","700.559727","62916.2","772.456061",57282.9,848.420733
"300x475",142500,75921.8,675.695255,"72866.9","704.023363","66047.9","776.709025",60120.4,853.287736
"300x500",150000,79360,680.443548,"76349.6","707.272861","69267.6","779.585261",62764.8,860.354849
"300x525",157500,82882.1,684.104288,"80607.6","703.407619","72534.1","781.701296",65777.1,862.002125
"300x550",165000,86316.8,688.162675,"85870.1","691.742527","77295.7","768.477419",69167.7,858.782351
