"grid_size",handcoded_u280,codegen_128SLR_10HLS_DATCPY_1B,codegen_128SLR_10HLS_DATCPY_10B,codegen_128SLR_10HLS_DATCPY_20B,codegen_128SLR_10HLS_DATCPY_50B,codegen_128SLR_10HLS_DATCPY_100B,codegen_4096SLR_360HLS_LOOP_1B,codegen_4096SLR_360HLS_LOOP_10B,codegen_4096SLR_360HLS_LOOP_20B,codegen_4096SLR_360HLS_LOOP_50B
"30x30",,71.7246337,320.861222,409.693399,483.677211,518.8346,96.1219304,473.07395,512.362561,537.955768
"60x60",,194.772646,560.14034,628.380841,671.710594,689.963585,353.251511,667.132981,686.679869,
"100x100",,354.938658,652.523539,685.722584,706.774993,714.51588,578.142146,704.523525,,
"200x100",,469.504746,737.288016,761.620879,776.990419,782.157605,678.01928,,,
"200x200",,598.573986,778.20507,791.235592,799.626057,802.388285,744.107734,,,
"300x150",,607.893879,794.333409,808.836227,816.976014,820.057279,757.070319,,,
"300x300",,708.564601,818.688938,826.275191,830.927145,832.388811,798.740114,,,
"400x200",,664.152221,789.836661,798.973867,804.582968,806.419734,765.605187,,,
400x300,,710.592796,801.290969,807.089729,810.810811,812.042646,783.995224,,,
400x400,,731.276663,806.391841,811.113044,813.969147,814.916162,738.851191,,,
